canonical	preferred_dir	preferred_path	preferred_frontmatter_name	aliases
re-index	re-index	.codex/skills/re-index/SKILL.md	re-index	
re-toolkit	re-toolkit	.codex/skills/re-toolkit/SKILL.md	re-toolkit-53597e	
refactor	refactor	.codex/skills/refactor/SKILL.md	refactor-957c48	
refactoring	refactoring	.codex/skills/refactoring/SKILL.md	refactoring-540919	skills-refactoring-skill
relative-paths	relative-paths	.codex/skills/relative-paths/SKILL.md	relative-paths-cfdc16	
relevant-files-navigator	relevant-files-navigator	.codex/skills/relevant-files-navigator/SKILL.md	relevant-files-navigator-dda69d	
remove-mock	remove-mock	.codex/skills/remove-mock/SKILL.md	remove-mock-5edfa8	
render-deploy	render-deploy	.codex/skills/render-deploy/SKILL.md	render-deploy-b24bfb	-curated-render-deploy-skill
response	response	.codex/skills/response/SKILL.md	response-1023be	
reverse-engineering	reverse-engineering	.codex/skills/reverse-engineering/SKILL.md	reverse-engineering-cffe6d	skills-reverse-engineering-skill
review-changes	review-changes	.codex/skills/review-changes/SKILL.md	review-changes-a9019c	
review-feedback	review-feedback	.codex/skills/review-feedback/SKILL.md	review-feedback-3f50a0	
review-spec	review-spec	.codex/skills/review-spec/SKILL.md	review-spec-ca89a1	
scoutqa-test	scoutqa-test	.codex/skills/scoutqa-test/SKILL.md	scoutqa-test-710e05	
screenshot	screenshot	.codex/skills/screenshot/SKILL.md	screenshot-22a258	-curated-screenshot-skill
security-best-practices	security-best-practices	.codex/skills/security-best-practices/SKILL.md	security-best-practices-55b7c4	-curated-security-best-practices-skill
security-ownership-map	security-ownership-map	.codex/skills/security-ownership-map/SKILL.md	security-ownership-map-94f300	-curated-security-ownership-map-skill
security-review	security-review	.codex/skills/security-review/SKILL.md	security-review-757015	skills-security-review-skill
security-threat-model	security-threat-model	.codex/skills/security-threat-model/SKILL.md	security-threat-model-c8d1e9	-curated-security-threat-model-skill
select-docset	select-docset	.codex/skills/select-docset/SKILL.md	select-docset-26ca0b	
select-templates	select-templates	.codex/skills/select-templates/SKILL.md	select-templates-9cf6e0	
sentry	sentry	.codex/skills/sentry/SKILL.md	sentry-2972aa	-curated-sentry-skill
setup-environment-prompt	setup-environment-prompt	.codex/skills/setup-environment-prompt/SKILL.md	setup-environment-prompt-6aeb4b	
shareskill	shareSkill	.codex/skills/shareSkill/SKILL.md	shareskill	
simple-agent	simple-agent	.codex/skills/simple-agent/SKILL.md	simple-agent-bf4266	
skill	skill	.codex/skills/skill/SKILL.md	skill-71c9c2	
skill-creator	skill-creator	.codex/skills/skill-creator/SKILL.md	skill-creator	
skill-creator-2	skill-creator-2	.codex/skills/skill-creator-2/SKILL.md	skill-creator-2-d76a3c	
skill-development	skill-development	.codex/skills/skill-development/SKILL.md	skill-development	
skill-development-2	skill-development-2	.codex/skills/skill-development-2/SKILL.md	skill-development-2-92a85b	
skill-function-deduper	skill-function-deduper	.codex/skills/skill-function-deduper/SKILL.md	skill-function-deduper-ec3b5b	
skill-installer	skill-installer	.codex/skills/skill-installer/SKILL.md	skill-installer	skills-skill-installer-skill
skill-installer-2	skill-installer-2	.codex/skills/skill-installer-2/SKILL.md	skill-installer-2-25dce0	
